utc,total,terrestrial,cosmic,thunderstorm
2021-08-05 00:05:41,116.0,109.0,5.0,2.0
2021-08-05 00:05:42,105.0,94.0,6.0,5.0
2021-08-05 00:05:43,110.0,94.0,12.0,4.0
2021-08-05 00:05:44,106.0,94.0,7.0,5.0
2021-08-05 00:05:45,89.0,84.0,1.0,4.0
2021-08-05 00:05:46,90.0,80.0,7.0,3.0
2021-08-05 00:05:47,114.0,105.0,5.0,4.0
2021-08-05 00:05:48,114.0,105.0,5.0,4.0
2021-08-05 00:05:49,109.0,97.0,4.0,8.0
2021-08-05 00:05:50,108.0,99.0,6.0,3.0
2021-08-05 00:05:51,107.0,91.0,6.0,10.0
2021-08-05 00:05:52,102.0,91.0,8.0,3.0
2021-08-05 00:05:53,127.0,114.0,6.0,7.0
2021-08-05 00:05:54,94.0,82.0,5.0,7.0
2021-08-05 00:05:55,91.0,85.0,5.0,1.0
2021-08-05 00:05:56,105.0,93.0,5.0,7.0
2021-08-05 00:05:57,110.0,103.0,2.0,5.0
2021-08-05 00:05:58,109.0,96.0,8.0,5.0
2021-08-05 00:05:59,104.0,98.0,5.0,1.0
2021-08-05 00:06:00,100.0,87.0,7.0,6.0
2021-08-05 00:06:01,118.0,109.0,6.0,3.0
2021-08-05 00:06:02,114.0,101.0,8.0,5.0
2021-08-05 00:06:03,121.0,114.0,5.0,2.0
2021-08-05 00:06:04,108.0,96.0,7.0,5.0
2021-08-05 00:06:05,92.0,88.0,1.0,3.0
2021-08-05 00:06:06,99.0,91.0,6.0,2.0
2021-08-05 00:06:07,104.0,95.0,6.0,3.0
2021-08-05 00:06:08,108.0,92.0,9.0,7.0
2021-08-05 00:06:09,126.0,110.0,13.0,3.0
2021-08-05 00:06:10,102.0,96.0,6.0,0.0
2021-08-05 00:06:11,101.0,92.0,4.0,5.0
2021-08-05 00:06:12,100.0,88.0,8.0,4.0
2021-08-05 00:06:13,111.0,100.0,6.0,5.0
2021-08-05 00:06:14,110.0,99.0,5.0,6.0
2021-08-05 00:06:15,113.0,105.0,4.0,4.0
2021-08-05 00:06:16,122.0,114.0,2.0,6.0
2021-08-05 00:06:17,116.0,106.0,7.0,3.0
2021-08-05 00:06:18,91.0,82.0,5.0,4.0
2021-08-05 00:06:19,121.0,105.0,9.0,7.0
2021-08-05 00:06:20,110.0,96.0,8.0,6.0
2021-08-05 00:06:21,102.0,91.0,10.0,1.0
2021-08-05 00:06:22,124.0,112.0,8.0,4.0
2021-08-05 00:06:23,103.0,91.0,5.0,7.0
2021-08-05 00:06:24,111.0,101.0,3.0,7.0
2021-08-05 00:06:25,104.0,95.0,6.0,3.0
2021-08-05 00:06:26,105.0,95.0,4.0,6.0
2021-08-05 00:06:27,100.0,91.0,6.0,3.0
2021-08-05 00:06:28,115.0,104.0,7.0,4.0
2021-08-05 00:06:29,113.0,94.0,13.0,6.0
2021-08-05 00:06:30,125.0,110.0,10.0,5.0
2021-08-05 00:06:31,112.0,96.0,12.0,4.0
2021-08-05 00:06:32,92.0,83.0,7.0,2.0
2021-08-05 00:06:33,109.0,102.0,4.0,3.0
2021-08-05 00:06:34,102.0,91.0,10.0,1.0
2021-08-05 00:06:35,110.0,96.0,9.0,5.0
2021-08-05 00:06:36,106.0,99.0,3.0,4.0
2021-08-05 00:06:37,107.0,95.0,7.0,5.0
2021-08-05 00:06:38,116.0,103.0,10.0,3.0
2021-08-05 00:06:39,119.0,106.0,8.0,5.0
2021-08-05 00:06:40,103.0,96.0,4.0,3.0
2021-08-05 00:06:41,122.0,110.0,8.0,4.0
2021-08-05 00:06:42,97.0,88.0,4.0,5.0
2021-08-05 00:06:43,101.0,94.0,5.0,2.0
2021-08-05 00:06:44,94.0,82.0,9.0,3.0
2021-08-05 00:06:45,107.0,100.0,4.0,3.0
2021-08-05 00:06:46,108.0,96.0,9.0,3.0
2021-08-05 00:06:47,118.0,108.0,5.0,5.0
2021-08-05 00:06:48,99.0,93.0,4.0,2.0
2021-08-05 00:06:49,110.0,103.0,4.0,3.0
2021-08-05 00:06:50,118.0,109.0,3.0,6.0
2021-08-05 00:06:51,97.0,91.0,2.0,4.0
2021-08-05 00:06:52,103.0,94.0,7.0,2.0
2021-08-05 00:06:53,100.0,91.0,8.0,1.0
2021-08-05 00:06:54,112.0,101.0,7.0,4.0
2021-08-05 00:06:55,111.0,99.0,8.0,4.0
2021-08-05 00:06:56,113.0,105.0,5.0,3.0
2021-08-05 00:06:57,100.0,90.0,8.0,2.0
2021-08-05 00:06:58,124.0,112.0,9.0,3.0
2021-08-05 00:06:59,103.0,95.0,7.0,1.0
2021-08-05 00:07:00,109.0,100.0,7.0,2.0
2021-08-05 00:07:01,107.0,94.0,7.0,6.0
2021-08-05 00:07:02,123.0,118.0,4.0,1.0
2021-08-05 00:07:03,96.0,90.0,2.0,4.0
2021-08-05 00:07:04,114.0,103.0,7.0,4.0
2021-08-05 00:07:05,95.0,84.0,8.0,3.0
2021-08-05 00:07:06,108.0,100.0,3.0,5.0
2021-08-05 00:07:07,107.0,97.0,7.0,3.0
2021-08-05 00:07:08,104.0,94.0,7.0,3.0
2021-08-05 00:07:09,106.0,97.0,6.0,3.0
2021-08-05 00:07:10,95.0,90.0,5.0,0.0
2021-08-05 00:07:11,123.0,112.0,9.0,2.0
2021-08-05 00:07:12,125.0,116.0,7.0,2.0
2021-08-05 00:07:13,114.0,101.0,10.0,3.0
2021-08-05 00:07:14,101.0,93.0,4.0,4.0
2021-08-05 00:07:15,100.0,89.0,7.0,4.0
2021-08-05 00:07:16,103.0,96.0,3.0,4.0
2021-08-05 00:07:17,113.0,96.0,9.0,8.0
2021-08-05 00:07:18,133.0,123.0,9.0,1.0
2021-08-05 00:07:19,99.0,88.0,7.0,4.0
2021-08-05 00:07:20,121.0,103.0,9.0,9.0
2021-08-05 00:07:21,98.0,84.0,11.0,3.0
2021-08-05 00:07:22,102.0,93.0,7.0,2.0
2021-08-05 00:07:23,123.0,115.0,6.0,2.0
2021-08-05 00:07:24,109.0,94.0,13.0,2.0
2021-08-05 00:07:25,106.0,92.0,9.0,5.0
2021-08-05 00:07:26,107.0,97.0,3.0,7.0
2021-08-05 00:07:27,101.0,91.0,8.0,2.0
2021-08-05 00:07:28,103.0,93.0,4.0,6.0
2021-08-05 00:07:29,98.0,90.0,4.0,4.0
2021-08-05 00:07:30,95.0,90.0,5.0,0.0
2021-08-05 00:07:31,101.0,94.0,6.0,1.0
2021-08-05 00:07:32,104.0,92.0,9.0,3.0
2021-08-05 00:07:33,118.0,108.0,6.0,4.0
2021-08-05 00:07:34,115.0,104.0,8.0,3.0
2021-08-05 00:07:35,113.0,99.0,8.0,6.0
2021-08-05 00:07:36,104.0,92.0,5.0,7.0
2021-08-05 00:07:37,110.0,98.0,9.0,3.0
2021-08-05 00:07:38,99.0,91.0,4.0,4.0
2021-08-05 00:07:39,114.0,105.0,4.0,5.0
2021-08-05 00:07:40,119.0,110.0,6.0,3.0
2021-08-05 00:07:41,109.0,100.0,8.0,1.0
2021-08-05 00:07:42,96.0,86.0,6.0,4.0
2021-08-05 00:07:43,113.0,103.0,7.0,3.0
2021-08-05 00:07:44,102.0,94.0,6.0,2.0
2021-08-05 00:07:45,104.0,92.0,8.0,4.0
2021-08-05 00:07:46,113.0,97.0,10.0,6.0
2021-08-05 00:07:47,118.0,105.0,8.0,5.0
2021-08-05 00:07:48,116.0,109.0,4.0,3.0
2021-08-05 00:07:49,123.0,108.0,7.0,8.0
2021-08-05 00:07:50,125.0,110.0,5.0,10.0
2021-08-05 00:07:51,94.0,85.0,9.0,0.0
2021-08-05 00:07:52,111.0,103.0,4.0,4.0
2021-08-05 00:07:53,109.0,99.0,7.0,3.0
2021-08-05 00:07:54,107.0,96.0,6.0,5.0
2021-08-05 00:07:55,114.0,100.0,11.0,3.0
2021-08-05 00:07:56,85.0,77.0,3.0,5.0
2021-08-05 00:07:57,105.0,98.0,2.0,5.0
2021-08-05 00:07:58,108.0,100.0,8.0,0.0
